cluster_id,size,share,median_probability,mean_outlier_score,intra_cluster_cosine,representative_customer_message_ids
131,44,0.0004722499490184714,1.0,0.06351972430217462,0.8270678520202637,1742664;2700789;35939;989584;810253;680666;2507301;1725361
132,89,0.0009552328514237263,0.7809754874913782,0.16223123529008526,0.8808518052101135,1112720;440423;2734222;2779155;1592887;823578;1300138;2410550
133,31,0.00033272155499028665,1.0,0.0002257606821850175,0.9029911160469055,2353717;1223067;1724726;742377;2811149;590774;2616361;1174746
134,356,0.0038209314056949053,1.0,0.18505386831034223,0.7942206859588623,505912;1144954;219483;1374061;1493337;539707;914807;206056
135,30,0.00032198860160350323,1.0,0.0,0.49402275681495667,283117;2221879;2278522;2450548;428992;210307;665461;2522249
136,38,0.0004078522286977708,1.0,0.004807339562143384,0.6537264585494995,2457154;944904;2901100;2300062;257182;518805;1223613;1603813
137,342,0.003670670058279937,0.8974900662743424,0.14359503699013262,0.46695229411125183,1628966;1423072;787190;467523;1492737;2251924;2265626;803944
138,57,0.0006117783430466562,1.0,0.006569673615643322,0.41802671551704407,1506876;1615563;430053;179411;575412;780035;793885;665201
139,1521,0.016324822101297615,1.0,0.39862401072353537,0.4096106290817261,608032;398709;334023;1032362;114393;320050;2884894;1449062
140,40,0.00042931813547133764,1.0,0.021017149843706277,0.6029489636421204,2477457;2220066;1297935;2205516;1575679;2763477;2428163;2804278
141,209,0.0022431872578377392,1.0,0.18145816547885069,0.487894743680954,1082911;318784;1307253;2113588;1127329;1053516;1650797;1153722
142,61,0.0006547101565937899,0.9694022857411071,0.06553428555464874,0.5081990957260132,96787;180905;930423;631640;2793045;2104274;1254563;244136
143,261,0.002801300833950478,1.0,0.2998131343628141,0.4113789200782776,1423806;1458020;589990;581191;2390373;2318785;43724;2680308
